track_id,category,projection_id,seed_index,qubits,layers,entangle,eligible,gamma,clipped_eigenvalues,minimum_eigenvalue_before_clip,maximum_negative_eigenvalue,off_diagonal_mean,off_diagonal_std,off_diagonal_q05,off_diagonal_q95,effective_rank,regularized_condition_number,kernel_target_alignment_q01b,kernel_target_alignment_fqk
FQK,A02,PX-03,4,8,1,False,True,0.01790128768508387,23.6,-3.1513886808033345e-15,-3.1513886808033345e-15,0.7663964921318686,0.13828856483801427,0.5129549487568567,0.9675587899113249,14.08634984870252,795.4631959792862,0.20389422860756395,0.12268634762952717
Q01b,A02,PX-03,5,8,1,False,True,0.01790128768508387,20.8,-2.394032610770628e-15,-2.394032610770628e-15,0.7663964537416155,0.13828914460529673,0.5129514386297973,0.9675605815309186,14.114680935544303,795.4632276950605,0.20392126882619865,0.12268229100845321
FQK,A02,PX-03,5,8,1,False,True,0.01790128768508387,20.8,-2.394032610770628e-15,-2.394032610770628e-15,0.7663964537416155,0.13828914460529673,0.5129514386297973,0.9675605815309186,14.114680935544303,795.4632276950605,0.20392126882619865,0.12268229100845321
Q01b,A02,PX-03,6,8,1,False,True,0.01790128768508387,26.8,-1.8998958455767155e-14,-1.8998958455767155e-14,0.7663962694442203,0.13828882378942178,0.5129551383072359,0.9675605227308001,14.075586392719657,795.4631297086186,0.203851889891717,0.12268785731632481
FQK,A02,PX-03,6,8,1,False,True,0.01790128768508387,26.8,-1.8998958455767155e-14,-1.8998958455767155e-14,0.7663962694442203,0.13828882378942178,0.5129551383072359,0.9675605227308001,14.075586392719657,795.4631297086186,0.203851889891717,0.12268785731632481
Q01b,A02,PX-03,7,8,1,False,True,0.01790128768508387,24.6,-1.1741944232295042e-14,-1.1741944232295042e-14,0.7663963806121924,0.13828893100361037,0.5129578608535127,0.9675610392324685,14.096742396693859,795.4631427545389,0.20389515598621819,0.12268399932100671
FQK,A02,PX-03,7,8,1,False,True,0.01790128768508387,24.6,-1.1741944232295042e-14,-1.1741944232295042e-14,0.7663963806121924,0.13828893100361037,0.5129578608535127,0.9675610392324685,14.096742396693859,795.4631427545389,0.20389515598621819,0.12268399932100671
Q01b,A02,PX-03,8,8,1,False,True,0.01790128768508387,22.2,-3.9379673207615135e-15,-3.9379673207615135e-15,0.7663963667444692,0.1382887966785659,0.512956459237514,0.9675593778117385,14.102552563974807,795.4631119306719,0.20387713869478857,0.12268391371396696
FQK,A02,PX-03,8,8,1,False,True,0.01790128768508387,22.2,-3.9379673207615135e-15,-3.9379673207615135e-15,0.7663963667444692,0.1382887966785659,0.512956459237514,0.9675593778117385,14.102552563974807,795.4631119306719,0.20387713869478857,0.12268391371396696
Q01b,A02,PX-03,9,8,1,False,True,0.01790128768508387,21.8,-2.168587621110826e-15,-2.168587621110826e-15,0.7663959916495188,0.13828778521612722,0.5129614459554798,0.9675586875128159,14.06047291476547,795.4629500215566,0.20381366611022694,0.12269392021562579
