alpha,calibration_rows_read,clipped_eigenvalues,condition,decision_sets,effective_rank,eligible,entangle,feature_scale,final_test_rows_read,fold_count,gamma,gamma_multiplier,ineligible_folds,kernel_target_alignment_fqk,kernel_target_alignment_q01b,landmarks,layers,maximum_negative_eigenvalue,mean_fold_nrmse,mean_regret_m_s,minimum_eigenvalue_before_clip,model_view,off_diagonal_mean,off_diagonal_q05,off_diagonal_q95,off_diagonal_std,pooled_oof_nrmse,pooled_oof_rmse,projection_id,qubits,regularized_condition_number,seed_index,status,track_id,validation_rows,wall_time_s,auroc,expected_calibration_error,false_negative_rate,false_positive_rate,pooled_oof_brier,precision_at_0_5,predicted_feasible_rate,recall_at_0_5
1.0,0,18.6,exact_statevector,7800,15.425709702138226,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490427825926215,0.18890652278875644,256,1,-2.6221924998923265e-15,0.5561106852274763,19.298353091489744,-2.6221924998923265e-15,projected,0.7806377915250897,0.6128786241737547,0.9574869204937089,0.1026782828652226,0.660383064750423,1.5465491228694535,PX-03,8,804.5307099939932,11,complete,Q01b,39000,3.176891400013119,,,,,,,,
1.0,0,18.6,exact_statevector,,15.425709702138226,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490427825926215,0.18890652278875644,256,1,-2.6221924998923265e-15,,,-2.6221924998923265e-15,projected,0.7806377915250897,0.6128786241737547,0.9574869204937089,0.1026782828652226,,,PX-03,8,804.5307099939932,11,complete,FQK,39000,3.176891400013119,0.743675608977935,0.11342668470555564,0.8911809016108472,0.08778110697705048,0.15614527976786957,0.2604715672676838,0.09243589743589743,0.10881909838915285
1.0,0,20.2,exact_statevector,7800,15.412294212674235,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490867710113718,0.18873313494664695,256,1,-6.955483941458683e-15,0.5556815064273012,19.3290784081709,-6.955483941458683e-15,projected,0.7806369351800837,0.6128799042556867,0.9574846795828507,0.10267791742053804,0.6612339229629994,1.5485417451709411,PX-03,8,804.5300336032421,12,complete,Q01b,39000,3.1367265000590123,,,,,,,,
1.0,0,20.2,exact_statevector,,15.412294212674235,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490867710113718,0.18873313494664695,256,1,-6.955483941458683e-15,,,-6.955483941458683e-15,projected,0.7806369351800837,0.6128799042556867,0.9574846795828507,0.10267791742053804,,,PX-03,8,804.5300336032421,12,complete,FQK,39000,3.1367265000590123,0.7434668662133355,0.11338252928770792,0.8907173484760691,0.08758355009713213,0.15617894314995343,0.2617263391618096,0.09238461538461538,0.10928265152393093
1.0,0,22.6,exact_statevector,7800,15.407814194442585,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490555365560646,0.18887591882648982,256,1,-5.6437179159604426e-15,0.5597935746415168,19.31885129424782,-5.6437179159604426e-15,projected,0.7806374840868692,0.6128754235154242,0.9574875336790335,0.10267757501401628,0.6662865590028227,1.5603744983904995,PX-03,8,804.5302867258295,13,complete,Q01b,39000,3.200509900052566,,,,,,,,
1.0,0,22.6,exact_statevector,,15.407814194442585,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490555365560646,0.18887591882648982,256,1,-5.6437179159604426e-15,,,-5.6437179159604426e-15,projected,0.7806374840868692,0.6128754235154242,0.9574875336790335,0.10267757501401628,,,PX-03,8,804.5302867258295,13,complete,FQK,39000,3.200509900052566,0.7432258135464547,0.11328207283573026,0.8909491250434581,0.08771525468374436,0.15611403936819143,0.2610263522884882,0.09243589743589743,0.1090508749565419
1.0,0,19.6,exact_statevector,7800,15.427352331589564,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490222229570424,0.18910466067863502,256,1,-3.8390873762528865e-15,0.5549506743171684,19.326538911830127,-3.8390873762528865e-15,projected,0.7806380667878607,0.6128804266324407,0.9574844733082382,0.10267792607823825,0.6595353875863066,1.544563950255834,PX-03,8,804.5308031584926,14,complete,Q01b,39000,3.2323140000225976,,,,,,,,
1.0,0,19.6,exact_statevector,,15.427352331589564,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490222229570424,0.18910466067863502,256,1,-3.8390873762528865e-15,,,-3.8390873762528865e-15,projected,0.7806380667878607,0.6128804266324407,0.9574844733082382,0.10267792607823825,,,PX-03,8,804.5308031584926,14,complete,FQK,39000,3.2323140000225976,0.7437583631563494,0.11311769569855185,0.8914126781782362,0.08761647624378519,0.15600845151075524,0.2604224569205114,0.09225641025641025,0.10858732182176382
1.0,0,23.8,exact_statevector,7800,15.421611115801989,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.1549021984902657,0.18894327264535007,256,1,-2.823875673510418e-15,0.5564316062749602,19.316288913756924,-2.823875673510418e-15,projected,0.7806378396640501,0.6128817194791377,0.9574864439864388,0.10267822893502976,0.660802873579071,1.5475322719088127,PX-03,8,804.5306298599062,15,complete,Q01b,39000,3.1305620999773964,,,,,,,,
1.0,0,23.8,exact_statevector,,15.421611115801989,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.1549021984902657,0.18894327264535007,256,1,-2.823875673510418e-15,,,-2.823875673510418e-15,projected,0.7806378396640501,0.6128817194791377,0.9574864439864388,0.10267822893502976,,,PX-03,8,804.5306298599062,15,complete,FQK,39000,3.1305620999773964,0.7433482534808392,0.11326869999526895,0.8909491250434581,0.08778110697705048,0.15616586178230052,0.26088161907402274,0.0924871794871795,0.1090508749565419
