category,calibration_rows_read,control_id,decision_sets,eligible,final_test_rows_read,fold_count,ineligible_folds,mean_fold_nrmse,mean_regret_m_s,model_view,pooled_oof_nrmse,pooled_oof_rmse,seed_index,status,track_id,validation_rows,wall_time_s,auroc,expected_calibration_error,false_negative_rate,false_positive_rate,pooled_oof_brier,precision_at_0_5,predicted_feasible_rate,recall_at_0_5
control,0,C02-T02,,True,0,5,[],,,control,,,5,complete,FQK,39000,58.398571999918204,0.9044416887234137,0.081195036408671,0.6821184378259358,0.03355174343946528,0.11346925115989903,0.7291334396597554,0.09646153846153846,0.3178815621740642
control,0,C03-T13,,True,0,5,[],,,control,,,5,complete,FQK,39000,58.398571999918204,0.8989529527337629,0.11489695140934364,0.5932321242322401,0.05643541536334003,0.13088043978657862,0.6718989280245024,0.13394871794871796,0.40676787576775986
control,0,C04-T28,,True,0,5,[],,,control,,,5,complete,FQK,39000,58.398571999918204,0.7306596292347993,0.07358071774528153,0.9986093405956658,0.0032596885186526622,0.15782398239201534,0.10810810810810811,0.0028461538461538463,0.0013906594043342217
control,0,C05-T12,,True,0,5,[],,,control,,,5,complete,FQK,39000,58.398571999918204,0.5842186974731566,0.1302648401728519,0.9568895584656392,0.04059793882321952,0.18070555486274956,0.23177570093457944,0.04115384615384615,0.043110441534360874
control,0,C06-T17,,True,0,5,[],,,control,,,5,complete,FQK,39000,58.398571999918204,0.8971983962581732,0.09764262831651918,0.6009966392397729,0.048269730993381846,0.12247392928942265,0.7013648400896313,0.12587179487179487,0.39900336076022713
control,0,A01-T04-q8,,True,0,5,[],,,control,,,5,complete,FQK,39000,58.398571999918204,0.7023805146139606,0.16606535042471465,0.8571097462046587,0.12179381646965856,0.1934658397605968,0.25,0.12646153846153846,0.1428902537953413
control,0,C05-T17-q8,,True,0,5,[],,,control,,,5,complete,FQK,39000,58.398571999918204,0.6168349399828922,0.1550109015995103,0.9084482558813304,0.05528300023048303,0.1816402892489485,0.319967598217902,0.0633076923076923,0.0915517441186696
control,0,C06-T17,7800,True,0,5,[],0.005356997531575444,16.806576945019742,control,0.006832811015144498,0.016001739666352786,6,complete,Q01b,39000,59.15853259997675,,,,,,,,
control,0,A01-T04-q8,7800,True,0,5,[],0.46556123150601014,19.39064821622936,control,0.5528740404442034,1.2947740606119562,6,complete,Q01b,39000,59.15853259997675,,,,,,,,
control,0,C05-T17-q8,7800,True,0,5,[],0.3511399529409852,19.531403114187437,control,0.43181865519570345,1.0112748162068226,6,complete,Q01b,39000,59.15853259997675,,,,,,,,
control,0,C01-T18,,True,0,5,[],,,control,,,6,complete,FQK,39000,59.15853259997675,0.7815268436105604,0.12383279817163276,0.8655695909143586,0.04724902044713707,0.16253420084989526,0.44701348747591524,0.06653846153846153,0.13443040908564144
control,0,C02-T02,,True,0,5,[],,,control,,,6,complete,FQK,39000,59.15853259997675,0.9148701613746353,0.06617734186891919,0.6785259010314058,0.03417734022587337,0.10616663882746016,0.7277019937040924,0.09774358974358974,0.3214740989685943
