outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,validation_outcomes_used
CV02,20,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2419381701072258e-14,0
CV02,20,GFRK-06-L010,6,1,True,64,256,0.1,19,-1.019472504814819e-14,0
CV02,20,GFRK-08-L010,8,1,True,256,256,0.1,12,-1.237837647370268e-15,0
CV03,1,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.7866357800496623e-14,0
CV03,1,GFRK-06-L010,6,1,True,64,256,0.1,28,-3.2262473219826082e-15,0
CV03,1,GFRK-08-L010,8,1,True,256,256,0.1,32,-4.737924064238913e-15,0
CV03,2,GFRK-04-L010,4,1,True,16,256,0.1,175,-4.501680811159184e-14,0
CV03,2,GFRK-06-L010,6,1,True,64,256,0.1,31,-1.6194796729581484e-15,0
CV03,2,GFRK-08-L010,8,1,True,256,256,0.1,27,-1.3648637599649499e-15,0
CV03,3,GFRK-04-L010,4,1,True,16,256,0.1,175,-4.275872725460459e-14,0
CV03,3,GFRK-06-L010,6,1,True,64,256,0.1,36,-3.374449256601108e-15,0
CV03,3,GFRK-08-L010,8,1,True,256,256,0.1,27,-1.3889423403741567e-15,0
CV03,4,GFRK-04-L010,4,1,True,16,256,0.1,175,-3.9159674621474336e-14,0
CV03,4,GFRK-06-L010,6,1,True,64,256,0.1,29,-2.486516726623136e-15,0
CV03,4,GFRK-08-L010,8,1,True,256,256,0.1,28,-1.9137051298455037e-15,0
CV03,5,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.912725229065175e-14,0
CV03,5,GFRK-06-L010,6,1,True,64,256,0.1,29,-4.640906185353945e-15,0
CV03,5,GFRK-08-L010,8,1,True,256,256,0.1,25,-2.2942151249900415e-15,0
CV03,6,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.9355045426429104e-14,0
CV03,6,GFRK-06-L010,6,1,True,64,256,0.1,35,-1.747261079634743e-15,0
CV03,6,GFRK-08-L010,8,1,True,256,256,0.1,25,-1.9359295567353157e-15,0
CV03,7,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.9558277993695756e-14,0
CV03,7,GFRK-06-L010,6,1,True,64,256,0.1,24,-1.810851717703227e-15,0
CV03,7,GFRK-08-L010,8,1,True,256,256,0.1,24,-2.1107954455082713e-15,0
CV03,8,GFRK-04-L010,4,1,True,16,256,0.1,175,-5.024712946588952e-14,0
CV03,8,GFRK-06-L010,6,1,True,64,256,0.1,25,-1.5120990437380454e-15,0
CV03,8,GFRK-08-L010,8,1,True,256,256,0.1,25,-2.1425979168578666e-15,0
CV03,9,GFRK-04-L010,4,1,True,16,256,0.1,175,-2.250673303292694e-14,0
CV03,9,GFRK-06-L010,6,1,True,64,256,0.1,43,-7.060419430039752e-15,0
CV03,9,GFRK-08-L010,8,1,True,256,256,0.1,29,-3.3355083106521386e-15,0
