outer_fold,seed_index,inner_fold,fit_groups,holdout_groups,group_intersection_count,fit_rows,holdout_rows
CV02,19,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,20,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,20,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,20,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,20,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV03,1,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,1,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,1,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,1,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,2,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,2,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,2,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,2,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,3,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,3,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,3,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,3,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,4,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,4,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,4,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,4,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,5,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,5,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,5,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,5,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,6,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,6,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,6,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,6,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,7,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,7,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,7,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,7,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,8,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,8,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,8,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,8,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,9,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,9,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,9,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,9,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,10,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,10,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,10,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,10,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,11,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,11,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,11,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,11,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,12,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,12,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,12,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,12,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,13,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,13,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,13,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,13,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,14,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,14,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,14,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,14,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,15,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,15,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,15,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,15,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,16,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,16,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,16,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,16,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,17,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,17,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,17,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,17,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,18,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,18,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,18,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,18,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,19,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,19,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,19,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,19,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV03,20,1,G01;G04;G07;G08;G10;G11;G12,G03;G06,0,815,209
CV03,20,2,G01;G03;G04;G06;G07;G08;G11,G10;G12,0,773,251
CV03,20,3,G01;G03;G04;G06;G10;G11;G12,G07;G08,0,798,226
CV03,20,4,G03;G06;G07;G08;G10;G12,G01;G04;G11,0,686,338
CV04,1,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,1,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,1,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,1,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,2,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,2,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,2,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,2,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,3,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,3,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,3,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,3,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,4,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,4,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
