family_id,completed_rung,next_rung,task_status,advancement_error,rank,trial_id,model_family,pooled_oof_nrmse,mean_regret_m_s,complexity_proxy,effective_qubits,selected_for_next_rung,view
Q03,128,256,nonadvancing,Too few eligible trials to satisfy the frozen retention count,,Q03-T28,hybrid_quantum_residual,0.02959923409777867,19.557686063688845,,4,False,
Q03,128,256,nonadvancing,Too few eligible trials to satisfy the frozen retention count,,Q03-T29,hybrid_quantum_residual,0.025059715077410828,19.56163050365923,,6,False,
Q03,128,256,nonadvancing,Too few eligible trials to satisfy the frozen retention count,,Q03-T30,hybrid_quantum_residual,0.02511349246984437,19.628205128205128,,6,False,
A01,128,256,complete,,1,A01-T04,random_fourier_ridge,0.5859344466973527,19.07630196247833,[128],4,True,primary
A01,128,256,complete,,2,A01-T18,random_fourier_ridge,0.5966572781094794,19.17812905061872,[128],4,True,primary
A01,128,256,complete,,3,A01-T12,random_fourier_ridge,0.6317907856012488,18.862165741945,[256],4,True,primary
A01,128,256,complete,,4,A01-T26,random_fourier_ridge,0.6330964461581076,19.14290389495974,[256],4,True,primary
A01,128,256,complete,,5,A01-T17,random_fourier_ridge,0.6822839878111223,19.95902232534205,[256],4,True,primary
A01,128,256,complete,,6,A01-T11,random_fourier_ridge,0.7081816685616925,19.946232787088462,[128],4,True,primary
A01,128,256,complete,,7,A01-T13,random_fourier_ridge,0.8355640776211937,19.048601315990513,[256],4,True,primary
A01,128,256,complete,,8,A01-T01,random_fourier_ridge,0.8439039260166533,17.415967046557054,[128],4,True,primary
A01,128,256,complete,,9,A01-T24,random_fourier_ridge,0.857092057302166,20.0,[128],4,True,primary
A01,128,256,complete,,10,A01-T02,random_fourier_ridge,0.8636186469187986,19.09033734092295,[128],4,True,primary
A01,128,256,complete,,11,A01-T03,random_fourier_ridge,0.8650893826269611,20.0,[256],4,True,primary
A01,128,256,complete,,12,A01-T07,random_fourier_ridge,0.9003058441024067,19.299452235956924,[128],4,True,primary
A01,128,256,complete,,13,A01-T27,random_fourier_ridge,0.9046707874642735,19.294429026740513,[256],4,True,primary
A01,128,256,complete,,14,A01-T05,random_fourier_ridge,0.9428388170910409,20.0,[256],4,True,primary
A01,128,256,complete,,15,A01-T16,random_fourier_ridge,0.9542396890623853,20.0,[128],4,True,primary
A01,128,256,complete,,16,A01-T08,random_fourier_ridge,0.9951860725520014,20.0,[256],4,False,primary
A01,128,256,complete,,17,A01-T25,random_fourier_ridge,0.9961900767572103,19.828619796829873,[128],4,False,primary
A01,128,256,complete,,18,A01-T30,random_fourier_ridge,0.9987419485531708,20.0,[128],4,False,primary
A01,128,256,complete,,19,A01-T06,random_fourier_ridge,1.0095074440644798,19.616677462497567,[256],4,False,primary
A01,128,256,complete,,20,A01-T23,random_fourier_ridge,1.0161209034565992,18.88022821940513,[256],4,False,primary
A01,128,256,complete,,21,A01-T19,random_fourier_ridge,1.0993274408597735,19.463303397907435,[256],4,False,primary
A01,128,256,complete,,22,A01-T29,random_fourier_ridge,1.118791000601322,19.284288264059867,[256],4,False,primary
A01,128,256,complete,,23,A01-T09,random_fourier_ridge,1.1612518821107725,18.556337159105386,[256],4,False,primary
A01,128,256,complete,,24,A01-T10,random_fourier_ridge,1.1719769401036386,19.46351298077205,[256],4,False,primary
A01,128,256,complete,,25,A01-T15,random_fourier_ridge,1.181829028833393,18.700800009656664,[128],4,False,primary
A01,128,256,complete,,26,A01-T22,random_fourier_ridge,1.3453079927201252,19.49676074893359,[128],4,False,primary
A01,128,256,complete,,27,A01-T21,random_fourier_ridge,1.4703441341953423,18.877775573987694,[256],4,False,primary
A01,128,256,complete,,28,A01-T20,random_fourier_ridge,1.8773484192356007,18.933633952888464,[128],4,False,primary
A01,128,256,complete,,29,A01-T14,random_fourier_ridge,2.397618879387198,17.514413907342693,[128],4,False,primary
A01,128,256,complete,,30,A01-T28,random_fourier_ridge,2.592745574363162,18.862255020036923,[128],4,False,primary
A01,128,256,complete,,1,A01-T12,random_fourier_ridge,0.6759512597556236,19.11914354743115,[256],6,True,primary
A01,128,256,complete,,2,A01-T04,random_fourier_ridge,0.7021712813930996,19.11174846687282,[128],6,True,primary
A01,128,256,complete,,3,A01-T26,random_fourier_ridge,0.71583671814921,19.48234353263987,[256],6,True,primary
A01,128,256,complete,,4,A01-T17,random_fourier_ridge,0.7338952386966688,19.961625974887053,[256],6,True,primary
A01,128,256,complete,,5,A01-T11,random_fourier_ridge,0.7726377205888896,19.99232902292115,[128],6,True,primary
A01,128,256,complete,,6,A01-T18,random_fourier_ridge,0.785430697775606,18.876507570262692,[128],6,True,primary
A01,128,256,complete,,7,A01-T03,random_fourier_ridge,0.8765036231769239,20.0,[256],6,True,primary
A01,128,256,complete,,8,A01-T24,random_fourier_ridge,0.8870522312978493,20.0,[128],6,True,primary
A01,128,256,complete,,9,A01-T27,random_fourier_ridge,0.9327955701507336,19.49606884053808,[256],6,True,primary
A01,128,256,complete,,10,A01-T07,random_fourier_ridge,0.9523105426642686,19.690051357953205,[128],6,True,primary
A01,128,256,complete,,11,A01-T16,random_fourier_ridge,0.9774407299825535,20.0,[128],6,True,primary
A01,128,256,complete,,12,A01-T05,random_fourier_ridge,0.9817412920253024,20.0,[256],6,True,primary
A01,128,256,complete,,13,A01-T08,random_fourier_ridge,1.010103529422849,20.0,[256],6,True,primary
A01,128,256,complete,,14,A01-T30,random_fourier_ridge,1.0128420639340023,20.0,[128],6,True,primary
A01,128,256,complete,,15,A01-T02,random_fourier_ridge,1.0129774750601976,19.157848502451667,[128],6,True,primary
A01,128,256,complete,,16,A01-T23,random_fourier_ridge,1.0201683352741007,19.11944738402,[256],6,False,primary
A01,128,256,complete,,17,A01-T06,random_fourier_ridge,1.0324293178141124,19.997435897435896,[256],6,False,primary
A01,128,256,complete,,18,A01-T13,random_fourier_ridge,1.0511585544788675,19.54932752247154,[256],6,False,primary
A01,128,256,complete,,19,A01-T25,random_fourier_ridge,1.0711890480774355,19.979505473375767,[128],6,False,primary
A01,128,256,complete,,20,A01-T21,random_fourier_ridge,1.0746816499055576,18.90854137050487,[256],6,False,primary
A01,128,256,complete,,21,A01-T19,random_fourier_ridge,1.1859841189359095,19.493607080861025,[256],6,False,primary
A01,128,256,complete,,22,A01-T09,random_fourier_ridge,1.29309843082703,19.33222277117667,[256],6,False,primary
A01,128,256,complete,,23,A01-T22,random_fourier_ridge,1.3389553685960267,19.675385060107562,[128],6,False,primary
A01,128,256,complete,,24,A01-T10,random_fourier_ridge,1.3482767845785872,19.63448950743808,[256],6,False,primary
A01,128,256,complete,,25,A01-T01,random_fourier_ridge,1.3634340625628854,17.254045075142308,[128],6,False,primary
A01,128,256,complete,,26,A01-T28,random_fourier_ridge,1.6422789152436161,18.85206876082564,[128],6,False,primary
