model_id,fold_id,seed_index,validation_rows,rmse,nrmse,mae,tail_abs_error_q90,tail_abs_error_q95
ridge_residual,CV03,2,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,2,9750,0.06123693477635429,1.034810983192275,0.048330992877511775,0.10389250257641054,0.11634835554019811
compressed_mlp_residual,CV03,2,9750,0.16115231394670065,2.7232288005259226,0.13552690902158473,0.2519431433202647,0.28704186967574097
a02_exact_rbf_residual,CV03,2,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,3,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,3,9750,0.06564521352871944,1.109304183849373,0.053893228701362705,0.11005157964997778,0.12236879099282831
compressed_mlp_residual,CV03,3,9750,0.12538065263177928,2.1187421757314957,0.09758046262737528,0.20855289505957225,0.25939113532212016
a02_exact_rbf_residual,CV03,3,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,4,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,4,9750,0.06327543809343682,1.069258586252339,0.05090640016029115,0.10761650775762344,0.1157747307113346
compressed_mlp_residual,CV03,4,9750,0.15403802299319266,2.6030081127465237,0.12147151689102687,0.24491372733575723,0.29355376530889793
a02_exact_rbf_residual,CV03,4,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,5,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,5,9750,0.0678333205228109,1.1462798613249867,0.055696095054376386,0.1146123902379089,0.12387155838012069
compressed_mlp_residual,CV03,5,9750,0.12073492400743598,2.040236433682867,0.09651790930827195,0.19963450572345826,0.23722307613697521
a02_exact_rbf_residual,CV03,5,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,6,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,6,9750,0.06547534773462595,1.1064337104979782,0.05328100547502573,0.11150416996600898,0.12192039658946967
compressed_mlp_residual,CV03,6,9750,0.1098898253026607,1.856970773922261,0.08409846196663241,0.17829967445183398,0.21908526744904888
a02_exact_rbf_residual,CV03,6,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,7,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,7,9750,0.0625396947524651,1.0568256437344175,0.05025945087592237,0.10670583930633543,0.11273698039665693
compressed_mlp_residual,CV03,7,9750,0.12741559053332818,2.1531295286962977,0.10067531372696928,0.20672167078465958,0.2581349060522224
a02_exact_rbf_residual,CV03,7,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,8,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,8,9750,0.061506880185220214,1.0393726496926798,0.04924481863737604,0.10825734135441253,0.11519511953423693
compressed_mlp_residual,CV03,8,9750,0.13171851660077952,2.2258424293456347,0.10141757483259974,0.21077339437898857,0.2680481762298753
a02_exact_rbf_residual,CV03,8,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,9,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,9,9750,0.06309973094485455,1.0662894029017618,0.05074512565837319,0.10651462791404871,0.11623356770811054
compressed_mlp_residual,CV03,9,9750,0.13271442176744722,2.242671710700906,0.10880945348384136,0.21581795809453827,0.24996245108032183
a02_exact_rbf_residual,CV03,9,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,10,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,10,9750,0.06986037067215015,1.180533923284139,0.05741076462390132,0.11961367234158943,0.13113902524822244
compressed_mlp_residual,CV03,10,9750,0.10065578013365602,1.700929466579273,0.07936240437182558,0.15891731734756473,0.18975316236258877
a02_exact_rbf_residual,CV03,10,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,11,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,11,9750,0.06643939016361604,1.1227245600877835,0.053926513008802524,0.11375614252139367,0.12137997129190979
compressed_mlp_residual,CV03,11,9750,0.12600706163823527,2.1293275344242293,0.10047896876102352,0.2096656708310497,0.24655576113291836
a02_exact_rbf_residual,CV03,11,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,12,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,12,9750,0.07619140379252182,1.2875187459543356,0.06065729408960919,0.13257161552009808,0.1458794527807346
compressed_mlp_residual,CV03,12,9750,0.14843898276728607,2.508392855757195,0.12315588140186143,0.24113391849676105,0.2728808332462665
a02_exact_rbf_residual,CV03,12,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,13,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,13,9750,0.06414249744299978,1.0839105694269402,0.051676136169912776,0.11190029649835345,0.11871582895436952
compressed_mlp_residual,CV03,13,9750,0.11358653258313813,1.91943949985467,0.08984646239813598,0.18686034452340133,0.2218663508391739
a02_exact_rbf_residual,CV03,13,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,14,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,14,9750,0.07068983055504316,1.1945505327057213,0.05764752725329454,0.12235068275743761,0.1329905036479033
compressed_mlp_residual,CV03,14,9750,0.14061495024141604,2.376178615769628,0.11157131378600117,0.2334155702335392,0.2827778155032475
a02_exact_rbf_residual,CV03,14,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,15,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,15,9750,0.06903969375110494,1.166665732548408,0.05574905232761333,0.11762038147371956,0.12826697106390816
compressed_mlp_residual,CV03,15,9750,0.11878552015499776,2.0072944759485725,0.09333028076850604,0.1949377667260233,0.23766156319108228
a02_exact_rbf_residual,CV03,15,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,16,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,16,9750,0.061621322689954294,1.0413065538189294,0.049481099978615974,0.10524713052476906,0.11306046797251303
compressed_mlp_residual,CV03,16,9750,0.11884928987182172,2.0083720870929826,0.09221280255575011,0.192521021429785,0.24548102373594086
a02_exact_rbf_residual,CV03,16,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,17,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,17,9750,0.06434332877133336,1.0873043131714253,0.05155442580645395,0.10989722332507648,0.11711127714333446
compressed_mlp_residual,CV03,17,9750,0.12608509567506157,2.1306461908636085,0.09235648885087507,0.19023663541973831,0.25542554141760576
a02_exact_rbf_residual,CV03,17,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,18,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,18,9750,0.06420690441598753,1.0849989492304903,0.05229497355565537,0.10794388084767968,0.12044773806779555
compressed_mlp_residual,CV03,18,9750,0.1151577392487066,1.9459905008205607,0.08454963482774089,0.18924536096749078,0.24326706039087423
a02_exact_rbf_residual,CV03,18,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,19,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,19,9750,0.06933256785838966,1.1716148591501512,0.05710510477562448,0.11968251738456923,0.1294212313503595
compressed_mlp_residual,CV03,19,9750,0.1427475329819884,2.412216017879485,0.11660095145697426,0.22560164137054575,0.2714660412238201
a02_exact_rbf_residual,CV03,19,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV03,20,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,20,9750,0.06625311627093332,1.119576814846549,0.053937847077470846,0.11361834667440818,0.12227473243580843
compressed_mlp_residual,CV03,20,9750,0.1213765629814155,2.0510791556437744,0.09840094005940593,0.19422666513150616,0.23290693926239622
a02_exact_rbf_residual,CV03,20,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
ridge_residual,CV04,1,6500,0.04030785613027178,0.6941971781621925,0.036056617725539926,0.061683576106489536,0.07108664606641536
random_feature_rbf_residual,CV04,1,6500,0.04321607388064751,0.7442836067052333,0.03502352276541752,0.07001441109626,0.08131500030668924
compressed_mlp_residual,CV04,1,6500,0.1324910833352083,2.2818116618680437,0.09173993545636709,0.21360231695523044,0.27399226241585517
a02_exact_rbf_residual,CV04,1,6500,0.08646821840367162,1.489188435687122,0.06626130148573244,0.14516710360541596,0.17962834435745095
ridge_residual,CV04,2,6500,0.04030785613027178,0.6941971781621925,0.036056617725539926,0.061683576106489536,0.07108664606641536
random_feature_rbf_residual,CV04,2,6500,0.04397909388821037,0.7574246265208129,0.035889962364062125,0.07191951426783394,0.08355958271221768
compressed_mlp_residual,CV04,2,6500,0.09761740929526182,1.681204027653098,0.07480817490859362,0.15476675175307517,0.2048218983749084
a02_exact_rbf_residual,CV04,2,6500,0.08646821840367162,1.489188435687122,0.06626130148573244,0.14516710360541596,0.17962834435745095
ridge_residual,CV04,3,6500,0.04030785613027178,0.6941971781621925,0.036056617725539926,0.061683576106489536,0.07108664606641536
random_feature_rbf_residual,CV04,3,6500,0.04534675253716664,0.7809789622246542,0.03724999090087064,0.07443631380510453,0.08625705167721864
compressed_mlp_residual,CV04,3,6500,0.1091186663047288,1.879283035762237,0.07691896874735708,0.16347468597187406,0.22178145130124968
a02_exact_rbf_residual,CV04,3,6500,0.08646821840367162,1.489188435687122,0.06626130148573244,0.14516710360541596,0.17962834435745095
ridge_residual,CV04,4,6500,0.04030785613027178,0.6941971781621925,0.036056617725539926,0.061683576106489536,0.07108664606641536
random_feature_rbf_residual,CV04,4,6500,0.042917272117053915,0.7391375294629664,0.035229296869882215,0.06948570312129959,0.07988870128504236
compressed_mlp_residual,CV04,4,6500,0.1109153403242675,1.9102260368092312,0.0864030847471101,0.17938515951920633,0.22185044685386845
a02_exact_rbf_residual,CV04,4,6500,0.08646821840367162,1.489188435687122,0.06626130148573244,0.14516710360541596,0.17962834435745095
ridge_residual,CV04,5,6500,0.04030785613027178,0.6941971781621925,0.036056617725539926,0.061683576106489536,0.07108664606641536
random_feature_rbf_residual,CV04,5,6500,0.0405936894335718,0.6991199076652044,0.032521754626524665,0.06778816438775095,0.07818036494086456
compressed_mlp_residual,CV04,5,6500,0.12755295168586958,2.19676528665808,0.10509490708665152,0.18883396443462844,0.2345630392276347
a02_exact_rbf_residual,CV04,5,6500,0.08646821840367162,1.489188435687122,0.06626130148573244,0.14516710360541596,0.17962834435745095
ridge_residual,CV04,6,6500,0.04030785613027178,0.6941971781621925,0.036056617725539926,0.061683576106489536,0.07108664606641536
random_feature_rbf_residual,CV04,6,6500,0.045397457497836316,0.7818522222785245,0.03745114018770908,0.07314650011464119,0.0845904601557629
compressed_mlp_residual,CV04,6,6500,0.11825713410003615,2.036669192339889,0.08544438206483566,0.19607748839082628,0.2546562864994033
a02_exact_rbf_residual,CV04,6,6500,0.08646821840367162,1.489188435687122,0.06626130148573244,0.14516710360541596,0.17962834435745095
ridge_residual,CV04,7,6500,0.04030785613027178,0.6941971781621925,0.036056617725539926,0.061683576106489536,0.07108664606641536
random_feature_rbf_residual,CV04,7,6500,0.047955692612909724,0.8259111172051056,0.03975618095281297,0.07773890297562186,0.08805730587166058
compressed_mlp_residual,CV04,7,6500,0.09775055355726103,1.683497088605524,0.07930845159864079,0.15556498242831604,0.18332476778575116
a02_exact_rbf_residual,CV04,7,6500,0.08646821840367162,1.489188435687122,0.06626130148573244,0.14516710360541596,0.17962834435745095
ridge_residual,CV04,8,6500,0.04030785613027178,0.6941971781621925,0.036056617725539926,0.061683576106489536,0.07108664606641536
random_feature_rbf_residual,CV04,8,6500,0.04409980582104786,0.7595035731875734,0.03686670834985572,0.06992624378609906,0.0803578167544939
compressed_mlp_residual,CV04,8,6500,0.10766187397566132,1.8541936060307591,0.0782338251219654,0.17278674376248554,0.22616505758577718
a02_exact_rbf_residual,CV04,8,6500,0.08646821840367162,1.489188435687122,0.06626130148573244,0.14516710360541596,0.17962834435745095
ridge_residual,CV04,9,6500,0.04030785613027178,0.6941971781621925,0.036056617725539926,0.061683576106489536,0.07108664606641536
random_feature_rbf_residual,CV04,9,6500,0.04267372762448853,0.7349431138892525,0.03426431848879669,0.07139038448336836,0.08204169826303753
compressed_mlp_residual,CV04,9,6500,0.13984338734016627,2.4084358285500143,0.11058778273785058,0.23608519110203718,0.2695006298341819
a02_exact_rbf_residual,CV04,9,6500,0.08646821840367162,1.489188435687122,0.06626130148573244,0.14516710360541596,0.17962834435745095
ridge_residual,CV04,10,6500,0.04030785613027178,0.6941971781621925,0.036056617725539926,0.061683576106489536,0.07108664606641536
random_feature_rbf_residual,CV04,10,6500,0.0439607866828097,0.7571093328895142,0.0362363883062944,0.07115999250548077,0.08132278296238411
compressed_mlp_residual,CV04,10,6500,0.09515681564626828,1.6388267510692338,0.07324208442761342,0.15929391583868496,0.19296302161104076
a02_exact_rbf_residual,CV04,10,6500,0.08646821840367162,1.489188435687122,0.06626130148573244,0.14516710360541596,0.17962834435745095
