model_id,fold_id,seed_index,validation_rows,threshold,brier,auroc,recall,precision,false_negative_rate,false_positive_rate,expected_calibration_error,intervention_rate
calibrated_logistic,CV02,16,9750,0.3309248900533076,0.2181631586000137,0.6665612403100776,0.9927272727272727,0.5076708507670851,0.007272727272727273,0.4925581395348837,0.23750044359088945,0.6618461538461539
class_weighted_tree,CV02,16,9750,0.7412521178096133,0.23172487771093023,0.6357490251350717,0.03393939393939394,0.6746987951807228,0.9660606060606061,0.008372093023255815,0.2638888455259134,0.017025641025641025
a02_exact_rbf_feasibility,CV02,16,9750,0.176101572327525,0.21824472512470358,0.7945857176415316,0.633030303030303,0.5555851063829788,0.36696969696969695,0.25906976744186044,0.20248712296008448,0.38564102564102565
calibrated_logistic,CV02,17,9750,0.3309248900533076,0.2181631586000137,0.6665612403100776,0.9927272727272727,0.5076708507670851,0.007272727272727273,0.4925581395348837,0.23750044359088945,0.6618461538461539
class_weighted_tree,CV02,17,9750,0.7629300426678809,0.2625578032556058,0.6096417665022316,0.08121212121212121,0.5285996055226825,0.9187878787878788,0.03705426356589147,0.26830776239352155,0.052
a02_exact_rbf_feasibility,CV02,17,9750,0.176101572327525,0.21824472512470358,0.7945857176415316,0.633030303030303,0.5555851063829788,0.36696969696969695,0.25906976744186044,0.20248712296008448,0.38564102564102565
calibrated_logistic,CV02,18,9750,0.3309248900533076,0.2181631586000137,0.6665612403100776,0.9927272727272727,0.5076708507670851,0.007272727272727273,0.4925581395348837,0.23750044359088945,0.6618461538461539
class_weighted_tree,CV02,18,9750,0.7549911653132299,0.2328090397118329,0.6651460418134837,0.046363636363636364,0.6095617529880478,0.9536363636363636,0.015193798449612403,0.21597442775358155,0.025743589743589743
a02_exact_rbf_feasibility,CV02,18,9750,0.176101572327525,0.21824472512470358,0.7945857176415316,0.633030303030303,0.5555851063829788,0.36696969696969695,0.25906976744186044,0.20248712296008448,0.38564102564102565
calibrated_logistic,CV02,19,9750,0.3309248900533076,0.2181631586000137,0.6665612403100776,0.9927272727272727,0.5076708507670851,0.007272727272727273,0.4925581395348837,0.23750044359088945,0.6618461538461539
class_weighted_tree,CV02,19,9750,0.7543004691536946,0.2402898197343577,0.634604557199906,0.02393939393939394,0.7247706422018348,0.9760606060606061,0.004651162790697674,0.22370700236802,0.011179487179487179
a02_exact_rbf_feasibility,CV02,19,9750,0.176101572327525,0.21824472512470358,0.7945857176415316,0.633030303030303,0.5555851063829788,0.36696969696969695,0.25906976744186044,0.20248712296008448,0.38564102564102565
calibrated_logistic,CV02,20,9750,0.3309248900533076,0.2181631586000137,0.6665612403100776,0.9927272727272727,0.5076708507670851,0.007272727272727273,0.4925581395348837,0.23750044359088945,0.6618461538461539
class_weighted_tree,CV02,20,9750,0.741738688212363,0.21747457773201823,0.6972545219638243,0.05,0.6818181818181818,0.95,0.011937984496124031,0.22607763889712287,0.02482051282051282
a02_exact_rbf_feasibility,CV02,20,9750,0.176101572327525,0.21824472512470358,0.7945857176415316,0.633030303030303,0.5555851063829788,0.36696969696969695,0.25906976744186044,0.20248712296008448,0.38564102564102565
calibrated_logistic,CV03,1,9750,0.2918070457233153,0.08021793066471883,0.7975725674301462,0.6036585365853658,0.1590787359400107,0.39634146341463417,0.16958306329660833,0.09946620903967555,0.1914871794871795
class_weighted_tree,CV03,1,9750,0.7026688720890071,0.06332836911062623,0.8149752268747574,0.0,0.0,1.0,0.0,0.12976840803249268,0.0
a02_exact_rbf_feasibility,CV03,1,9750,0.2336915465218965,0.06465242027698005,0.5213972270960558,0.17886178861788618,0.0757314974182444,0.8211382113821138,0.11600777705767984,0.08071366450317068,0.11917948717948718
calibrated_logistic,CV03,2,9750,0.2918070457233153,0.08021793066471883,0.7975725674301462,0.6036585365853658,0.1590787359400107,0.39634146341463417,0.16958306329660833,0.09946620903967555,0.1914871794871795
class_weighted_tree,CV03,2,9750,0.6911855132885383,0.06977436472103053,0.8156684309066033,0.0,0.0,1.0,0.0,0.1532800224213421,0.0
a02_exact_rbf_feasibility,CV03,2,9750,0.2336915465218965,0.06465242027698005,0.5213972270960558,0.17886178861788618,0.0757314974182444,0.8211382113821138,0.11600777705767984,0.08071366450317068,0.11917948717948718
calibrated_logistic,CV03,3,9750,0.2918070457233153,0.08021793066471883,0.7975725674301462,0.6036585365853658,0.1590787359400107,0.39634146341463417,0.16958306329660833,0.09946620903967555,0.1914871794871795
class_weighted_tree,CV03,3,9750,0.6393749788207755,0.06606275777058225,0.8094483654655081,0.0,0.0,1.0,0.0,0.14783226332355598,0.0
a02_exact_rbf_feasibility,CV03,3,9750,0.2336915465218965,0.06465242027698005,0.5213972270960558,0.17886178861788618,0.0757314974182444,0.8211382113821138,0.11600777705767984,0.08071366450317068,0.11917948717948718
calibrated_logistic,CV03,4,9750,0.2918070457233153,0.08021793066471883,0.7975725674301462,0.6036585365853658,0.1590787359400107,0.39634146341463417,0.16958306329660833,0.09946620903967555,0.1914871794871795
class_weighted_tree,CV03,4,9750,0.6876856500476498,0.06797916673493318,0.7971997850244219,0.0040650406504065045,0.6666666666666666,0.9959349593495935,0.00010801468999783971,0.1511628963129982,0.0003076923076923077
a02_exact_rbf_feasibility,CV03,4,9750,0.2336915465218965,0.06465242027698005,0.5213972270960558,0.17886178861788618,0.0757314974182444,0.8211382113821138,0.11600777705767984,0.08071366450317068,0.11917948717948718
calibrated_logistic,CV03,5,9750,0.2918070457233153,0.08021793066471883,0.7975725674301462,0.6036585365853658,0.1590787359400107,0.39634146341463417,0.16958306329660833,0.09946620903967555,0.1914871794871795
class_weighted_tree,CV03,5,9750,0.6748754265652067,0.0621170889302686,0.7983519417177322,0.006097560975609756,0.5,0.9939024390243902,0.0003240440699935191,0.1298625603986056,0.0006153846153846154
a02_exact_rbf_feasibility,CV03,5,9750,0.2336915465218965,0.06465242027698005,0.5213972270960558,0.17886178861788618,0.0757314974182444,0.8211382113821138,0.11600777705767984,0.08071366450317068,0.11917948717948718
