outer_fold,seed_index,q,orthogonalized_target_l2,first_stage_rbf25_l2,second_stage_fidelity_l2,second_stage_rbf50_l2,validation_outcomes_used,stage_order,channel_source
CV02,15,6,0.6479564730528032,1.0179417866572669,1.7990182104794676,0.5162021045323177,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,15,8,0.5955732257597659,0.7725328033590486,0.8908405771989129,0.6145875393125464,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,16,4,0.6279823939783493,1.5036232945669108,1.432778779042085,1.9263457136713822,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,16,6,0.6478512552196279,1.0181010929272016,1.8075663169609675,0.5180539603553878,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,16,8,0.595708415290446,0.7723845625840782,0.8815555469897464,0.6186945391787108,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,17,4,0.6278537161603203,1.5035628560377707,1.4335096797313192,1.9261513641831225,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,17,6,0.6479031618965424,1.018092996638321,1.8238696718989802,0.5174662816801946,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,17,8,0.5957328521153219,0.7723775069239589,0.8716418112033539,0.6162749854727122,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,18,4,0.627861282995823,1.5035919717140962,1.4345252396846206,1.9264128795811566,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,18,6,0.6478732915581569,1.0180879794892708,1.7968558715185174,0.5166843691753535,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,18,8,0.5957714619372739,0.7727368376463475,0.8727242238899332,0.6145442679833576,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,19,4,0.6279313023792489,1.50346603567897,1.433943559590574,1.9257156045649204,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,19,6,0.6480734647849486,1.0181184463588224,1.8021505478273572,0.5172351352016626,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,19,8,0.5958445447440758,0.7725234634586681,0.9152415864465487,0.6166950788165768,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,20,4,0.6279652540563936,1.5035226036263005,1.4329846041727479,1.9263227437236858,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,20,6,0.6477407571115524,1.0180782798608339,1.794200403177538,0.5179682244364703,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,20,8,0.5955129919586996,0.7717416951516645,0.8900542766362483,0.6140047489395757,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,1,4,1.1738151882971888,2.0596089118943253,1.5236683789247834,1.3730340725265415,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,1,6,1.2349888396038147,1.676201138015401,2.1067716194360497,1.3874391085561661,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,1,8,1.0917908420478246,1.7022949178121456,1.6284473742598178,1.005582412961692,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,2,4,1.1738845601844183,2.0628628976394543,1.5238022314539126,1.3529403622510083,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,2,6,1.2349909382792847,1.6709088030584807,2.1194549313432027,1.3822142063382803,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,2,8,1.0919176898515948,1.707945016034003,1.6931444045177053,1.009782679543508,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,3,4,1.1737979285283167,2.0619144780024397,1.524202629092534,1.3556151547909852,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,3,6,1.234890250794533,1.675678966717639,2.0851231711158937,1.3845884501460488,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,3,8,1.0919544349591308,1.7086284468964081,1.6830981037210275,1.0095862587110394,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,4,4,1.1738559387015477,2.059237445555673,1.5235650992813305,1.3343494568711123,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,4,6,1.2351711031291157,1.6706846947226492,2.099605799691315,1.381929262739733,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,4,8,1.091835456336082,1.7036861632262985,1.6466108358799003,1.0003060893877163,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
