outer_fold,seed_index,q,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,candidate_weight,control_weight,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV02,13,6,SFRK-06-CV,TWO-RBF-06-CV,1.7365764737942688,1.0181100247166537,1.0883123382319664,0.6276314353181252,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,13,8,SFRK-08-CV,TWO-RBF-08-CV,0.5601501163460174,0.7721906843806167,0.7410100235078079,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,14,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369861207888,1.503467988154285,1.750064171205618,0.28596801479636175,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,14,6,SFRK-06-CV,TWO-RBF-06-CV,1.7192319103172158,1.018045806123658,1.087573041190582,0.6284844273928732,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,14,8,SFRK-08-CV,TWO-RBF-08-CV,0.55160038238,0.772330654519156,0.742203277465013,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,15,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369861864356,1.5035711439569848,1.7506427425624815,0.28551062679244826,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,15,6,SFRK-06-CV,TWO-RBF-06-CV,1.7299374267995662,1.0182835675804038,1.0886285287363495,0.6287347985394683,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,15,8,SFRK-08-CV,TWO-RBF-08-CV,0.5599305475579446,0.7727357106827941,0.743024553070886,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,16,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369868934567,1.5035374064365445,1.7505696138119442,0.2863373342866967,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,16,6,SFRK-06-CV,TWO-RBF-06-CV,1.729286662215543,1.0180013715942917,1.0877794305536912,0.6296926683777258,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,16,8,SFRK-08-CV,TWO-RBF-08-CV,0.5502786534708708,0.7722348047824465,0.7419900717469267,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,17,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369840265322,1.5034829583413447,1.7506529028364106,0.2860189817538793,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,17,6,SFRK-06-CV,TWO-RBF-06-CV,1.721764433551117,1.0180579701018684,1.0881225933765517,0.6311250127483781,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,17,8,SFRK-08-CV,TWO-RBF-08-CV,0.5592792929009159,0.7726160269988547,0.7422804643786265,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,18,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369853859224,1.5035350705962358,1.7506170350079522,0.28585594810197495,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,18,6,SFRK-06-CV,TWO-RBF-06-CV,1.7227121719882568,1.0181809449532822,1.0880330929450586,0.62655659291109,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,18,8,SFRK-08-CV,TWO-RBF-08-CV,0.5642029354506941,0.7723066203989747,0.7428220587173672,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,19,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369869521638,1.5035100331578406,1.750692286502926,0.2862077841069833,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,19,6,SFRK-06-CV,TWO-RBF-06-CV,1.7247434026983066,1.0181258097700647,1.0880183370442442,0.6296633648102111,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,19,8,SFRK-08-CV,TWO-RBF-08-CV,0.5498897419983932,0.7727018721433984,0.7430122450696922,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,20,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369874471667,1.5035731194489004,1.7507193296445809,0.28626362604500966,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,20,6,SFRK-06-CV,TWO-RBF-06-CV,1.721953166731334,1.018221531431389,1.0878233561177617,0.6316523050306398,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,20,8,SFRK-08-CV,TWO-RBF-08-CV,0.5398173681025185,0.7723594960209922,0.7423031840790845,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,1,4,SFRK-04-CV,TWO-RBF-04-CV,1.7440943188321751,2.0589984798742353,2.14636280665909,0.5314617717117212,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,1,6,SFRK-06-CV,TWO-RBF-06-CV,1.3376150295908702,1.6708686144804648,1.5830031727426108,0.5022842744651391,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,1,8,SFRK-08-CV,TWO-RBF-08-CV,1.4292088619847458,1.7022930976082518,1.6984123550796328,0.6247876163721747,0.8710714535197985,1024,1024,0,same_cross_fitted_c06_residual
CV03,2,4,SFRK-04-CV,TWO-RBF-04-CV,1.7440943184077211,2.0601357485001928,2.142181828804513,0.5316703193907293,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,2,6,SFRK-06-CV,TWO-RBF-06-CV,1.311699971930858,1.6686825294384884,1.5848711464044798,0.5036452968600897,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,2,8,SFRK-08-CV,TWO-RBF-08-CV,1.438233714043511,1.706131658249141,1.7016724472095344,0.589967789076993,0.8678380866687414,1024,1024,0,same_cross_fitted_c06_residual
CV03,3,4,SFRK-04-CV,TWO-RBF-04-CV,1.7440943185369597,2.062776959425167,2.1443813249056114,0.5313983828930149,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,3,6,SFRK-06-CV,TWO-RBF-06-CV,1.3268802479842228,1.6718539089962035,1.5870106001107098,0.5038858328025255,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,3,8,SFRK-08-CV,TWO-RBF-08-CV,1.445733699084409,1.7045350575024028,1.701047897059285,0.5810622993212969,0.8834635459499788,1024,1024,0,same_cross_fitted_c06_residual
CV03,4,4,SFRK-04-CV,TWO-RBF-04-CV,1.7440943182177906,2.061468646137572,2.144544106955865,0.531591337734108,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,4,6,SFRK-06-CV,TWO-RBF-06-CV,1.3182565741907002,1.6753252200412374,1.5877405464691474,0.5046699179808873,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,4,8,SFRK-08-CV,TWO-RBF-08-CV,1.4397154123268747,1.7074283493122127,1.6960234055854941,0.5967240895054702,0.8701397114289772,1024,1024,0,same_cross_fitted_c06_residual
CV03,5,4,SFRK-04-CV,TWO-RBF-04-CV,1.7440943185750655,2.0632571647385047,2.1522906213840463,0.5313732006518993,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,5,6,SFRK-06-CV,TWO-RBF-06-CV,1.3342782267387354,1.6751107789441966,1.5884399361872894,0.5049098179192336,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,5,8,SFRK-08-CV,TWO-RBF-08-CV,1.444554120715342,1.7051839082248341,1.7108953368626647,0.5746601161754605,0.8800674377535912,1024,1024,0,same_cross_fitted_c06_residual
CV03,6,4,SFRK-04-CV,TWO-RBF-04-CV,1.744094318666162,2.0620258129105764,2.1462420110881224,0.5313691975010107,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,6,6,SFRK-06-CV,TWO-RBF-06-CV,1.370801397329308,1.6758797785708048,1.5936520923361215,0.5017541039493513,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,6,8,SFRK-08-CV,TWO-RBF-08-CV,1.4191574285037116,1.7110062838419107,1.7043702883197125,0.5985104304474438,0.8664646794487183,1024,1024,0,same_cross_fitted_c06_residual
CV03,7,4,SFRK-04-CV,TWO-RBF-04-CV,1.7440943181846111,2.0654514937899506,2.1503793093445003,0.5312330528423707,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,7,6,SFRK-06-CV,TWO-RBF-06-CV,1.323277260229609,1.6688220870110977,1.582739337764889,0.5017086404551165,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,7,8,SFRK-08-CV,TWO-RBF-08-CV,1.4261663377254319,1.708904797855652,1.7012383735897485,0.5863461692960228,0.874036440043024,1024,1024,0,same_cross_fitted_c06_residual
CV03,8,4,SFRK-04-CV,TWO-RBF-04-CV,1.7440943187272908,2.055971617882777,2.139709894723579,0.5313005083631186,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,8,6,SFRK-06-CV,TWO-RBF-06-CV,1.3464436752661142,1.6753767642085564,1.5917104065950596,0.5017723694632038,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,8,8,SFRK-08-CV,TWO-RBF-08-CV,1.4285091389376132,1.7039254680464375,1.6999532447580077,0.5731234523713847,0.8445587261671407,1024,1024,0,same_cross_fitted_c06_residual
CV03,9,4,SFRK-04-CV,TWO-RBF-04-CV,1.7440943181375146,2.0637038028353913,2.1497516591672174,0.5313729637402728,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,9,6,SFRK-06-CV,TWO-RBF-06-CV,1.3208775481058426,1.6691977718644635,1.5853327006473221,0.5026159020900439,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV03,9,8,SFRK-08-CV,TWO-RBF-08-CV,1.4332154722566954,1.70163320810549,1.694173934978558,0.582171270887542,0.8979410018193207,1024,1024,0,same_cross_fitted_c06_residual
CV03,10,4,SFRK-04-CV,TWO-RBF-04-CV,1.7440943186675413,2.0564002723921595,2.1424961265091613,0.5313705227528595,1.0,1024,1024,0,same_cross_fitted_c06_residual
