outer_fold,seed_index,q,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,candidate_interaction_norm,control_interaction_norm,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV02,17,6,NIFRK-06-NL,TWO-RBF-06-NL,1.7239607195742834,1.0180726022938107,1.0882716572364306,0.638546515186088,1.122566104790526,1024,1024,0,same_cross_fitted_c06_residual
CV02,17,8,NIFRK-08-NL,TWO-RBF-08-NL,0.547395527157553,0.7729627437795002,0.7423141776986656,0.48173351788189733,0.8320553000620233,1024,1024,0,same_cross_fitted_c06_residual
CV02,18,4,NIFRK-04-NL,TWO-RBF-04-NL,1.9511369868929875,1.503392944088117,1.7504755647140922,1.2281089795831468,1.1545975660030974,1024,1024,0,same_cross_fitted_c06_residual
CV02,18,6,NIFRK-06-NL,TWO-RBF-06-NL,1.721573281912169,1.018118401305766,1.0877507612018016,0.6306644578484861,1.120247766224781,1024,1024,0,same_cross_fitted_c06_residual
CV02,18,8,NIFRK-08-NL,TWO-RBF-08-NL,0.5549179386000825,0.7725281350028059,0.741970564541013,0.482132634838366,0.8315303540517478,1024,1024,0,same_cross_fitted_c06_residual
CV02,19,4,NIFRK-04-NL,TWO-RBF-04-NL,1.9511369860359151,1.503596661681069,1.7507334576496925,1.229582451964961,1.1559630348969172,1024,1024,0,same_cross_fitted_c06_residual
CV02,19,6,NIFRK-06-NL,TWO-RBF-06-NL,1.7186438435229194,1.0180086558778307,1.087917950922211,0.6486308962009782,1.1230837474095003,1024,1024,0,same_cross_fitted_c06_residual
CV02,19,8,NIFRK-08-NL,TWO-RBF-08-NL,0.5626252022189415,0.7723446286702884,0.7421486136697966,0.48075644439791143,0.8337069605107271,1024,1024,0,same_cross_fitted_c06_residual
CV02,20,4,NIFRK-04-NL,TWO-RBF-04-NL,1.9511369873325752,1.503512997168355,1.7507200389507913,1.2295322598194374,1.1558794168901017,1024,1024,0,same_cross_fitted_c06_residual
CV02,20,6,NIFRK-06-NL,TWO-RBF-06-NL,1.7254321634807566,1.0180090236375243,1.0880287889770623,0.6407390133945347,1.1195285843854015,1024,1024,0,same_cross_fitted_c06_residual
CV02,20,8,NIFRK-08-NL,TWO-RBF-08-NL,0.5609753724136785,0.7724830273714678,0.7415279043440502,0.48230609857283346,0.8285531116882144,1024,1024,0,same_cross_fitted_c06_residual
CV03,1,4,NIFRK-04-NL,TWO-RBF-04-NL,1.7440943185170388,2.0587515482083907,2.1424562398247406,3.3752087398952275,2.7421995165070796,1024,1024,0,same_cross_fitted_c06_residual
