outer_fold,seed_index,q,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,channel_fit_rows,validation_outcomes_used,channel_source
CV01,18,4,1.3254448875679739,0.7056661075141892,0.8820763572975135,1024,0,same_cross_fitted_c06_residual
CV01,18,6,1.6214616996101798,0.7724281880305116,0.9210064396135063,1024,0,same_cross_fitted_c06_residual
CV01,18,8,1.9687273663114702,0.86036478577709,1.0614605327619824,1024,0,same_cross_fitted_c06_residual
CV01,19,4,1.3254448863790738,0.704936185821401,0.8794253220091749,1024,0,same_cross_fitted_c06_residual
CV01,19,6,1.6213977280035203,0.7726115014543383,0.9215396025790268,1024,0,same_cross_fitted_c06_residual
CV01,19,8,1.9627201698586398,0.8613149856732923,1.0643099255546338,1024,0,same_cross_fitted_c06_residual
CV01,20,4,1.325444887374325,0.7043477353108962,0.8797500148511541,1024,0,same_cross_fitted_c06_residual
CV01,20,6,1.6187268931948662,0.772399556974811,0.9220547625334785,1024,0,same_cross_fitted_c06_residual
CV01,20,8,1.967321187217636,0.8620251346032662,1.064804035857114,1024,0,same_cross_fitted_c06_residual
CV02,1,4,1.9511369849016627,1.503585280351376,1.7507228618736534,1024,0,same_cross_fitted_c06_residual
CV02,1,6,1.7250231490588286,1.0179533629210005,1.0875058893017613,1024,0,same_cross_fitted_c06_residual
CV02,1,8,0.5682498184273954,0.772417375331933,0.7424436514424891,1024,0,same_cross_fitted_c06_residual
CV02,2,4,1.9511369859182788,1.5033676540717344,1.7502256790757804,1024,0,same_cross_fitted_c06_residual
CV02,2,6,1.7252412670147117,1.0181348732750775,1.0882726235237439,1024,0,same_cross_fitted_c06_residual
CV02,2,8,0.548727541423502,0.7727578827509005,0.7435852129615029,1024,0,same_cross_fitted_c06_residual
CV02,3,4,1.9511369871836957,1.5035431597427382,1.750695420819894,1024,0,same_cross_fitted_c06_residual
CV02,3,6,1.730249465269862,1.01795946202177,1.0879412300828828,1024,0,same_cross_fitted_c06_residual
CV02,3,8,0.5554602594431071,0.7724083826320056,0.7434018982105015,1024,0,same_cross_fitted_c06_residual
CV02,4,4,1.9511369864772776,1.5035533382803346,1.7506540532539003,1024,0,same_cross_fitted_c06_residual
CV02,4,6,1.7196406920454408,1.0179350850662672,1.0880119506406771,1024,0,same_cross_fitted_c06_residual
CV02,4,8,0.5434520298912418,0.772367885252447,0.7420105618845461,1024,0,same_cross_fitted_c06_residual
CV02,5,4,1.951136987127601,1.5036006407970115,1.7507046763375997,1024,0,same_cross_fitted_c06_residual
CV02,5,6,1.736740731917754,1.0180306615602948,1.0884202207279825,1024,0,same_cross_fitted_c06_residual
CV02,5,8,0.5498676133770987,0.772871470717601,0.7428525817329154,1024,0,same_cross_fitted_c06_residual
CV02,6,4,1.951136984990282,1.503539901574051,1.7507111421388992,1024,0,same_cross_fitted_c06_residual
CV02,6,6,1.7244445966117818,1.0178929043984002,1.0879146049914779,1024,0,same_cross_fitted_c06_residual
CV02,6,8,0.5488955063056782,0.7722662826053768,0.7425126976462253,1024,0,same_cross_fitted_c06_residual
CV02,7,4,1.9511369842776012,1.5035498557396292,1.7506669917232265,1024,0,same_cross_fitted_c06_residual
CV02,7,6,1.7251784831490995,1.0179456553777855,1.087777870684545,1024,0,same_cross_fitted_c06_residual
CV02,7,8,0.5467948409218649,0.7724243519666909,0.7424989810141986,1024,0,same_cross_fitted_c06_residual
CV02,8,4,1.9511369872023958,1.5035297030729164,1.7507170376482852,1024,0,same_cross_fitted_c06_residual
CV02,8,6,1.7259470177006713,1.0180299935056933,1.0879452206669495,1024,0,same_cross_fitted_c06_residual
CV02,8,8,0.5421596075242123,0.7724865181638129,0.7418758300171958,1024,0,same_cross_fitted_c06_residual
CV02,9,4,1.951136986756004,1.5035174680503238,1.7505127805279237,1024,0,same_cross_fitted_c06_residual
CV02,9,6,1.7157733755359448,1.0180018907932111,1.0877348901132868,1024,0,same_cross_fitted_c06_residual
CV02,9,8,0.5622092425003608,0.7722044157035862,0.7418400298478376,1024,0,same_cross_fitted_c06_residual
CV02,10,4,1.9511369861198005,1.5035123093900822,1.750748045848723,1024,0,same_cross_fitted_c06_residual
CV02,10,6,1.7279688919497709,1.0180775216813989,1.0879798722595233,1024,0,same_cross_fitted_c06_residual
CV02,10,8,0.5425946380876812,0.7721664803710667,0.743719482193664,1024,0,same_cross_fitted_c06_residual
CV02,11,4,1.9511369867326134,1.5035182607298654,1.7506560284760802,1024,0,same_cross_fitted_c06_residual
CV02,11,6,1.7286415003247504,1.0181975277503037,1.0879647560131243,1024,0,same_cross_fitted_c06_residual
CV02,11,8,0.55851156469771,0.7723930528774586,0.741855903733095,1024,0,same_cross_fitted_c06_residual
CV02,12,4,1.9511369888781598,1.5035419165900088,1.750684177316226,1024,0,same_cross_fitted_c06_residual
CV02,12,6,1.7192764381687207,1.0180368426266806,1.087614564104585,1024,0,same_cross_fitted_c06_residual
CV02,12,8,0.5403638261603461,0.7723179303461287,0.7423196158584304,1024,0,same_cross_fitted_c06_residual
CV02,13,4,1.9511369877919627,1.5035342321738054,1.7505124975610034,1024,0,same_cross_fitted_c06_residual
CV02,13,6,1.7212018041727364,1.0180340700990353,1.0880489496303354,1024,0,same_cross_fitted_c06_residual
CV02,13,8,0.5480034979514158,0.7725897435296949,0.7428638543275248,1024,0,same_cross_fitted_c06_residual
CV02,14,4,1.9511369855943734,1.5035584769736101,1.7506599385816668,1024,0,same_cross_fitted_c06_residual
CV02,14,6,1.7223446342844697,1.018046795898985,1.0877067562129956,1024,0,same_cross_fitted_c06_residual
CV02,14,8,0.5489280023076473,0.772487820927078,0.7414431464019405,1024,0,same_cross_fitted_c06_residual
CV02,15,4,1.9511369873283526,1.5035545695414603,1.7506880496958335,1024,0,same_cross_fitted_c06_residual
CV02,15,6,1.7326165718934465,1.0181201137404772,1.0878772319223795,1024,0,same_cross_fitted_c06_residual
CV02,15,8,0.563649729321339,0.7726631969647912,0.743441141163427,1024,0,same_cross_fitted_c06_residual
CV02,16,4,1.9511369862137375,1.5035547006471504,1.7506415321581938,1024,0,same_cross_fitted_c06_residual
CV02,16,6,1.718241382891226,1.0180976395282928,1.0881870546605616,1024,0,same_cross_fitted_c06_residual
CV02,16,8,0.5498764897238025,0.7725948230465338,0.743308802974211,1024,0,same_cross_fitted_c06_residual
CV02,17,4,1.9511369871230477,1.5035735237367427,1.7506280435798103,1024,0,same_cross_fitted_c06_residual
