outer_fold,seed_index,grid,candidate_losses,control_losses,candidate_lambda,control_lambda,selection_source,validation_outcomes_used
CV02,8,0.05;0.10;0.15,0.0002544014449776717;0.00026080230796084;0.0002678712592810166,0.0002618916594972333;0.0002792143502865048;0.0003006367426993263,0.05,0.05,outer_training_inner_oof_only,0
CV02,9,0.05;0.10;0.15,0.0002542901930063125;0.0002605850365679877;0.0002675532010165376,0.0002619196807400705;0.0002792681088425577;0.0003007139546389738,0.05,0.05,outer_training_inner_oof_only,0
CV02,10,0.05;0.10;0.15,0.0002541449651775402;0.0002602845928738204;0.0002670875534203525,0.0002619111357309613;0.0002792492493295797;0.0003006830111273672,0.05,0.05,outer_training_inner_oof_only,0
CV02,11,0.05;0.10;0.15,0.0002542334736220629;0.0002604718849310124;0.0002673839042583606,0.0002619382104224483;0.0002793129146204272;0.0003007927829254485,0.05,0.05,outer_training_inner_oof_only,0
CV02,12,0.05;0.10;0.15,0.0002541510222261562;0.0002603020493267329;0.000267121751633242,0.0002619345990021983;0.0002792987481636056;0.0003007611178157337,0.05,0.05,outer_training_inner_oof_only,0
CV02,13,0.05;0.10;0.15,0.0002542904937954273;0.0002605917165484281;0.0002675723385905143,0.0002619333680318858;0.0002793022362258943;0.0003007752749135373,0.05,0.05,outer_training_inner_oof_only,0
CV02,14,0.05;0.10;0.15,0.0002542659912093562;0.0002605397002467787;0.0002674897974437795,0.0002618889060689497;0.0002792107262270867;0.000300634130805923,0.05,0.05,outer_training_inner_oof_only,0
CV02,15,0.05;0.10;0.15,0.0002540988450380701;0.00026020086325668;0.0002669747249873417,0.0002619151454990312;0.0002792621848809161;0.0003007097884771666,0.05,0.05,outer_training_inner_oof_only,0
CV02,16,0.05;0.10;0.15,0.000254327265243635;0.0002606359454266884;0.0002675947108806722,0.0002619050333727884;0.0002792491603891066;0.0003007010513804667,0.05,0.05,outer_training_inner_oof_only,0
CV02,17,0.05;0.10;0.15,0.000254140073146379;0.0002602726589003709;0.0002670664275934881,0.0002619349196710615;0.0002792992888788308;0.0003007617779548198,0.05,0.05,outer_training_inner_oof_only,0
CV02,18,0.05;0.10;0.15,0.0002541650534551642;0.000260318047784961;0.0002671276533209025,0.0002619049580662679;0.0002792478932218948;0.0003006974757983929,0.05,0.05,outer_training_inner_oof_only,0
CV02,19,0.05;0.10;0.15,0.0002538966341777378;0.0002597923829201034;0.0002663559165586091,0.0002619366641206576;0.0002793147571860718;0.0003008029495277546,0.05,0.05,outer_training_inner_oof_only,0
CV02,20,0.05;0.10;0.15,0.0002539756262750904;0.0002599402395072183;0.0002665625100278956,0.0002619106627824919;0.0002792547003579859;0.0003007007830579939,0.05,0.05,outer_training_inner_oof_only,0
CV03,1,0.05;0.10;0.15,0.00102207482185509;0.00103071527779771;0.001043832751652493,0.001044631343432241;0.001085139241914761;0.001139435079272194,0.05,0.05,outer_training_inner_oof_only,0
