outer_fold,seed_index,q,common_target_l2,second_stage_fidelity_l2,second_stage_rbf50_l2,validation_outcomes_used,stage_order,channel_source
CV02,14,8,0.5957258749044931,0.8851364118425379,0.6131082365489655,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,15,4,0.5955732257597659,1.4922281934574604,1.3549652421223783,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,15,6,0.5955732257597659,1.9474455877226382,0.9301596216132124,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,15,8,0.5955732257597659,0.8582767394784105,0.6157108338764654,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,16,4,0.595708415290446,1.4968379582038343,1.3586252138523216,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,16,6,0.595708415290446,1.963503824473577,0.9320208915457759,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,16,8,0.595708415290446,0.8692918993942536,0.6166456996223967,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,17,4,0.5957328521153219,1.4941327538913294,1.3567442173153157,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,17,6,0.5957328521153219,1.9452948565825625,0.9298677309712212,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,17,8,0.5957328521153219,0.8906597927833173,0.6149125113226345,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,18,4,0.5957714619372739,1.5017836878392792,1.3576423597614777,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,18,6,0.5957714619372739,1.9552400238839966,0.9302750747622073,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
