outer_fold,seed_index,fit_rows,candidate_feature_columns,control_feature_columns,stack_ridge,candidate_coefficients,control_coefficients,feature_order,common_target_l2,validation_outcomes_used
CV02,2,1024,4,4,0.001,0.001781593244711564;-0.5056748230436215;0.05719698812400845;-0.4714274607140553,0.001109056276860886;-0.2087729844860742;0.6515848137736218;-1.130378916262026,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5956321671811997,0
CV02,3,1024,4,4,0.001,0.001770456210392193;-0.5016808076648099;0.05506731665571667;-0.4875070932947745,0.001094203899773263;-0.2033762733789315;0.6421918542884305;-1.121789371537597,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5954842618899718,0
CV02,4,1024,4,4,0.001,0.001942039064290187;-0.4978332370554823;0.05850952528381886;-0.5309549511518855,0.001095639362094448;-0.2053981805712833;0.6475018424379544;-1.128274995503675,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5956112409554141,0
CV02,5,1024,4,4,0.001,0.001774816245833506;-0.5040569025261381;0.04959326680648815;-0.4626119507424464,0.001128451042617985;-0.2040990875570362;0.647324160879327;-1.128733479944757,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.595836046824757,0
CV02,6,1024,4,4,0.001,0.00182230326285056;-0.4999962199043307;0.05547602293677028;-0.504515177754908,0.001073323648917917;-0.2069315152720894;0.64790725414434;-1.127238171782376,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5955817465569767,0
CV02,7,1024,4,4,0.001,0.001814255800666532;-0.4918295686396481;0.04646365759023029;-0.4877117660564937,0.001106098013391435;-0.2035039699188519;0.6402105136116362;-1.121462276874383,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5956500145375423,0
CV02,8,1024,4,4,0.001,0.001921356038114199;-0.5017086016477305;0.05990377251737818;-0.5163688085345861,0.001103057960258383;-0.2059478090325534;0.644820475483473;-1.12527363746753,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5958826573192582,0
CV02,9,1024,4,4,0.001,0.00190072031979044;-0.4991909464326065;0.06168261292457822;-0.521907882078859,0.001092968680283844;-0.2059299701246314;0.6491116835897711;-1.130610328689273,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5957717486237579,0
CV02,10,1024,4,4,0.001,0.001863248863563728;-0.5019800097009155;0.05671273794748739;-0.5151031317545681,0.001100220189875992;-0.2052293399658845;0.6448161880215449;-1.126932765565419,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5956519413790858,0
CV02,11,1024,4,4,0.001,0.001887668948804458;-0.4945197992755956;0.04750797109392216;-0.4886084532706913,0.001082354788075345;-0.2073573029674247;0.6521435434991978;-1.132025836106731,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5958721553849483,0
CV02,12,1024,4,4,0.001,0.001806821654347326;-0.4987855999401117;0.05359668533101704;-0.4952159874790831,0.00108453232912065;-0.2067333607233464;0.6500340106300573;-1.131621430138765,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.595779312727236,0
CV02,13,1024,4,4,0.001,0.00190403391780431;-0.4976943132526707;0.06078115579791493;-0.5194669337890416,0.001140671739914581;-0.1992050577679653;0.6434208307910817;-1.127973361353555,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.595715173718829,0
CV02,14,1024,4,4,0.001,0.001884335002905872;-0.4966828585459936;0.05256154725207509;-0.499832546686823,0.001122317971421819;-0.2100891653086062;0.6512630435466428;-1.129847188219044,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5957258749044931,0
CV02,15,1024,4,4,0.001,0.001792457347718934;-0.4970790563018362;0.05111588171277855;-0.4742363343013824,0.001085526786529106;-0.2075691297288015;0.6450468323719857;-1.12347276531581,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5955732257597659,0
CV02,16,1024,4,4,0.001,0.001922456705250189;-0.5043509719625533;0.05263435267388594;-0.5002102452636789,0.001079578417983732;-0.2104347428797762;0.6523364738699556;-1.129138861066461,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.595708415290446,0
CV02,17,1024,4,4,0.001,0.00176463709236687;-0.5000743967721769;0.05003846723708594;-0.4683024269816571,0.001075602491884602;-0.2098693427483345;0.6530755400613667;-1.132364780893158,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5957328521153219,0
CV02,18,1024,4,4,0.001,0.001803827808039272;-0.4960369352088798;0.03967885683005774;-0.4548245486830383,0.0010922340519823;-0.2072177206065966;0.6459860763274137;-1.124524663626919,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5957714619372739,0
CV02,19,1024,4,4,0.001,0.001712558620309747;-0.497858381171032;0.04794504600551189;-0.4562034701924826,0.001119500668525202;-0.2075955597167475;0.6528961583286642;-1.131494263439831,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5958445447440758,0
CV02,20,1024,4,4,0.001,0.001817207143035451;-0.5006646238868228;0.04776986561455566;-0.480063089475455,0.001110447922865842;-0.206103551871621;0.6488597019721247;-1.129276780574437,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5955129919586996,0
CV03,1,1024,4,4,0.001,-0.003350601787282607;-0.6224242044017587;-0.3574142267534541;0.2098367891354743,-0.008280721234923851;-0.5261765518494623;-0.6706802705288745;0.4941841888608539,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0917908420478246,0
CV03,2,1024,4,4,0.001,-0.003405174536571841;-0.6163224111052351;-0.350040000329758;0.1917195479025552,-0.008294670405735697;-0.5340101812335578;-0.6631719217268665;0.4939907825003831,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0919176898515948,0
CV03,3,1024,4,4,0.001,-0.003362416634916712;-0.6212251394303402;-0.3480352907078109;0.1929066060952357,-0.008251485628621956;-0.5272789152476391;-0.6712764389920348;0.4958439954618682,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0919544349591308,0
CV03,4,1024,4,4,0.001,-0.003293267747226994;-0.619459152516456;-0.3475097918624154;0.1922803763032509,-0.00825558940112288;-0.528839213349402;-0.6723736510891507;0.4970226053874287,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.091835456336082,0
CV03,5,1024,4,4,0.001,-0.003544210788736821;-0.604470965106047;-0.3582647291363272;0.1717009863939354,-0.008262547915374235;-0.5265591723031706;-0.6659141541827552;0.4906315214702788,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0919828207157998,0
