outer_fold,seed_index,shared_gain,grid,candidate_losses,control_losses,candidate_gain,control_gain,selection_source,validation_outcomes_used
CV03,13,0.1,0.05;0.10;0.15;0.20,0.001017342832192146;0.001033018506518781;0.001051054747583859;0.001071451555387379,0.001039630609465251;0.001084903566146647;0.001139846594648141;0.001204459694969734,0.05,0.05,outer_training_inner_oof_only,0
CV03,14,0.1,0.05;0.10;0.15;0.20,0.00101647646555527;0.001031257108684841;0.001048348214010169;0.001067749781531254,0.001039466143404985;0.001084578028505285;0.001139341939922356;0.001203757877656197,0.05,0.05,outer_training_inner_oof_only,0
CV03,15,0.1,0.05;0.10;0.15;0.20,0.001017249978685831;0.001032783304892863;0.001050624060711281;0.001070772246141084,0.001039566019246378;0.001084809338149177;0.00113975403879858;0.001204400121194587,0.05,0.05,outer_training_inner_oof_only,0
CV03,16,0.1,0.05;0.10;0.15;0.20,0.001017449680953959;0.001033221206104665;0.001051221863942088;0.001071451654466226,0.001039468097846449;0.001084679845213762;0.001139542530591909;0.00120405615398089,0.05,0.05,outer_training_inner_oof_only,0
CV03,17,0.1,0.05;0.10;0.15;0.20,0.001017320305367074;0.001032895796695314;0.001050756690777545;0.001070902987613767,0.00103969501797616;0.001085015145782231;0.00113999060021104;0.001204621381262587,0.05,0.05,outer_training_inner_oof_only,0
CV03,18,0.1,0.05;0.10;0.15;0.20,0.001017081029137467;0.001032319198068966;0.001049837838451344;0.001069636950284599,0.00103981759404896;0.001085218278671432;0.00114032538552426;0.001205138914607445,0.05,0.05,outer_training_inner_oof_only,0
CV03,19,0.1,0.05;0.10;0.15;0.20,0.001017160553518089;0.001032735602328793;0.00105064562962522;0.001070890635407371,0.001039622722481384;0.001085010721619304;0.001140084480606869;0.001204843999444079,0.05,0.05,outer_training_inner_oof_only,0
CV03,20,0.1,0.05;0.10;0.15;0.20,0.001016943827793536;0.001032256879359816;0.00104994526255731;0.00107000897738602,0.001039681097003152;0.001085061561769311;0.00114014750215695;0.001204938918166069,0.05,0.05,outer_training_inner_oof_only,0
CV04,1,0.1,0.05;0.10;0.15;0.20,0.0003771259833537386;0.0003953104429169444;0.0004146186313600422;0.0004350505486830319,0.0003764516027594555;0.0003939590146880429;0.0004125874884561867;0.0004323370240638869,0.05,0.05,outer_training_inner_oof_only,0
CV04,2,0.1,0.05;0.10;0.15;0.20,0.0003772131996417025;0.0003954875477761834;0.0004148879451628222;0.0004354143918016189,0.0003764415924036412;0.0003939385155862186;0.0004125556703071119;0.0004322930565663211,0.05,0.05,outer_training_inner_oof_only,0
CV04,3,0.1,0.05;0.10;0.15;0.20,0.0003771810843981282;0.000395424223886699;0.0004147918700180553;0.0004352840227921972,0.0003764732058526665;0.0003940080797746204;0.0004126670733182051;0.0004324501864834202,0.05,0.05,outer_training_inner_oof_only,0
CV04,4,0.1,0.05;0.10;0.15;0.20,0.0003773382517011121;0.0003957588201481942;0.000415317097189964;0.0004360130828264214,0.00037645046476494;0.0003939697410460352;0.0004126132206920033;0.0004323809037028441,0.05,0.05,outer_training_inner_oof_only,0
CV04,5,0.1,0.05;0.10;0.15;0.20,0.000376784579335349;0.0003946071339086845;0.0004135403989902814;0.0004335843745801394,0.0003764515162209911;0.0003939509307678973;0.0004125709789109937;0.0004323116606502801,0.05,0.05,outer_training_inner_oof_only,0
CV04,6,0.1,0.05;0.10;0.15;0.20,0.0003773131896618481;0.0003957084026256274;0.0004152434961329309;0.0004359184701837585,0.0003764782822346823;0.0003940236160716873;0.0004126938587526078;0.0004324890102774439,0.05,0.05,outer_training_inner_oof_only,0
CV04,7,0.1,0.05;0.10;0.15;0.20,0.0003770168648271744;0.0003950905547155746;0.000414279452133956;0.0004345835570823185,0.0003764013340568963;0.0003938635050864872;0.0004124448955575282;0.0004321455054700191,0.05,0.05,outer_training_inner_oof_only,0
CV04,8,0.1,0.05;0.10;0.15;0.20,0.0003771303282106389;0.0003953201859601496;0.0004146306651622134;0.0004350617658168306,0.0003764974578783788;0.0003940616319537318;0.0004127536141397407;0.0004325734044364052,0.05,0.05,outer_training_inner_oof_only,0
