outer_fold,seed_index,q,shared_gain,common_target_l2,first_stage_rbf25_l2,second_stage_fidelity_l2,second_stage_rbf50_l2,candidate_gain,control_gain,validation_outcomes_used,stage_order,channel_source
CV03,20,8,0.1,1.0917165889903457,1.7050905578934483,1.6522105535050406,1.0099234870628715,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,1,8,0.1,0.694733645946715,0.4288314217324777,0.8046201839730359,0.3901903339853426,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,2,8,0.1,0.6947737285015515,0.42958143350628436,0.7963454791446132,0.383143380927799,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,3,8,0.1,0.6946883712107402,0.43045859810755804,0.7986572632136845,0.3934015606482522,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,4,8,0.1,0.6946482695643288,0.4289065858064825,0.7954963796678638,0.38984644044876404,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,5,8,0.1,0.6947723856587992,0.42967300011910964,0.8010442996555871,0.38438777658602125,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,6,8,0.1,0.6946695149349266,0.43071262241184904,0.7998255772273027,0.3933942929980688,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,7,8,0.1,0.6946947101095996,0.42711412320893727,0.8011906164245792,0.383498079425916,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,8,8,0.1,0.6946937132670107,0.42783141171508243,0.7982706569232341,0.3876870028302829,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,9,8,0.1,0.6947068572023665,0.42879687698268376,0.8022952678966535,0.3860032807068493,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,10,8,0.1,0.6946678749606138,0.42842515132576603,0.7989339313495328,0.38811048137502935,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,11,8,0.1,0.6946750979664772,0.4266076529002272,0.801039439762811,0.38978005483986106,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,12,8,0.1,0.6946469239710872,0.43135517415182767,0.8059111774457174,0.39208507064214027,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,13,8,0.1,0.694672750272081,0.4286855190652631,0.8013948226668222,0.3912466360661281,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,14,8,0.1,0.6946977245192767,0.4296353905236483,0.8044727703929014,0.3878740550315619,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,15,8,0.1,0.6948947377847419,0.4316906720636901,0.8026966679774831,0.3882698807514278,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,16,8,0.1,0.6947709287865587,0.42973951601850896,0.801267480403512,0.3893491712103975,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,17,8,0.1,0.6946343863311402,0.42790800586783356,0.7992506741743697,0.3913038422308279,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,18,8,0.1,0.6947028569984954,0.4298418579354326,0.7989486450601425,0.3877865184321823,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,19,8,0.1,0.6947059711034598,0.425692573838821,0.8025658160980359,0.39222022819127655,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV04,20,8,0.1,0.6947942912351587,0.4280836781263978,0.8058409159110126,0.3865947938288253,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,1,8,0.1,1.0341756626901903,0.4493230171818597,1.2006514546593698,0.6092954012862584,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,2,8,0.1,1.0335080939427166,0.44583341437867274,1.2091015364974729,0.6110504694288303,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,3,8,0.1,1.0336650521754946,0.44606135351651177,1.199549093971136,0.6084832009107665,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,4,8,0.1,1.033760746496208,0.4461603642280458,1.2027331512264816,0.6065231423025129,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,5,8,0.1,1.0328756256235492,0.44600728044166205,1.1962231300738673,0.6078665133603544,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,6,8,0.1,1.0337219223046605,0.45116113544194764,1.2064333717477238,0.6101746139150392,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,7,8,0.1,1.0342861820994775,0.44573672341377274,1.2104776308413143,0.6094701299439875,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,8,8,0.1,1.0346461900615131,0.4498286379238778,1.2081965313536336,0.610193916098694,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,9,8,0.1,1.0335463465766446,0.44659702465845147,1.2013895175955822,0.6071507872926679,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,10,8,0.1,1.0337574171888453,0.44651852533459957,1.2004808703683487,0.6090277669981311,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,11,8,0.1,1.0341757103087872,0.4476586799239588,1.1886854339389863,0.6110842443615366,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,12,8,0.1,1.0339201975676575,0.4455245772479163,1.2176244041813178,0.6073086319203331,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,13,8,0.1,1.0336853957281427,0.4467337918380193,1.1938187217603344,0.6061443863405395,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,14,8,0.1,1.0338054540442232,0.44581450038967774,1.187244431191075,0.6052104719536623,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,15,8,0.1,1.0338197890496372,0.4483400637916677,1.1872276723522435,0.606724380535376,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,16,8,0.1,1.0344743351307608,0.44644310641125234,1.1795286861233458,0.6085604972517819,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,17,8,0.1,1.0336930971261573,0.4495130494200723,1.2042082307963644,0.6079335704548268,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,18,8,0.1,1.0333671767763875,0.4473141576573841,1.21183437945021,0.6084705801826884,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,19,8,0.1,1.0335640223864726,0.4470091640841436,1.1963014618971954,0.6112956462690261,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV05,20,8,0.1,1.0338998866391156,0.44760325814928237,1.188969442686458,0.6083440082921786,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
