outer_fold,seed_index,q,eta,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV01,9,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6183786044357282,0.773032585610035,0.9201181483817307,1024,1024,0,same_cross_fitted_c06_residual
CV01,9,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6183786044357282,0.773032585610035,0.9201181483817307,1024,1024,0,same_cross_fitted_c06_residual
CV01,9,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6183786044357282,0.773032585610035,0.9201181483817307,1024,1024,0,same_cross_fitted_c06_residual
CV01,9,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.9664356651949804,0.8596839745357326,1.0626376563634972,1024,1024,0,same_cross_fitted_c06_residual
CV01,9,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.9664356651949804,0.8596839745357326,1.0626376563634972,1024,1024,0,same_cross_fitted_c06_residual
CV01,9,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.9664356651949804,0.8596839745357326,1.0626376563634972,1024,1024,0,same_cross_fitted_c06_residual
CV01,10,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448870810736,0.7048115006463674,0.881181650926055,1024,1024,0,same_cross_fitted_c06_residual
CV01,10,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448870810736,0.7048115006463674,0.881181650926055,1024,1024,0,same_cross_fitted_c06_residual
CV01,10,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448870810736,0.7048115006463674,0.881181650926055,1024,1024,0,same_cross_fitted_c06_residual
CV01,10,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6197920811650715,0.7733817264956329,0.9229552301964415,1024,1024,0,same_cross_fitted_c06_residual
CV01,10,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6197920811650715,0.7733817264956329,0.9229552301964415,1024,1024,0,same_cross_fitted_c06_residual
CV01,10,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6197920811650715,0.7733817264956329,0.9229552301964415,1024,1024,0,same_cross_fitted_c06_residual
CV01,10,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.9687634685083077,0.8615398258674466,1.0654109594413776,1024,1024,0,same_cross_fitted_c06_residual
CV01,10,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.9687634685083077,0.8615398258674466,1.0654109594413776,1024,1024,0,same_cross_fitted_c06_residual
CV01,10,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.9687634685083077,0.8615398258674466,1.0654109594413776,1024,1024,0,same_cross_fitted_c06_residual
CV01,11,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448874860196,0.7049639317244865,0.8799129415899308,1024,1024,0,same_cross_fitted_c06_residual
CV01,11,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448874860196,0.7049639317244865,0.8799129415899308,1024,1024,0,same_cross_fitted_c06_residual
CV01,11,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448874860196,0.7049639317244865,0.8799129415899308,1024,1024,0,same_cross_fitted_c06_residual
CV01,11,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6285555728614958,0.7726121243415733,0.9224828005661976,1024,1024,0,same_cross_fitted_c06_residual
CV01,11,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6285555728614958,0.7726121243415733,0.9224828005661976,1024,1024,0,same_cross_fitted_c06_residual
CV01,11,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6285555728614958,0.7726121243415733,0.9224828005661976,1024,1024,0,same_cross_fitted_c06_residual
CV01,11,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.9756605387813089,0.8609907523563313,1.0639384203533364,1024,1024,0,same_cross_fitted_c06_residual
CV01,11,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.9756605387813089,0.8609907523563313,1.0639384203533364,1024,1024,0,same_cross_fitted_c06_residual
CV01,11,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.9756605387813089,0.8609907523563313,1.0639384203533364,1024,1024,0,same_cross_fitted_c06_residual
CV01,12,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448879036205,0.7046978183700361,0.8787708893609487,1024,1024,0,same_cross_fitted_c06_residual
CV01,12,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448879036205,0.7046978183700361,0.8787708893609487,1024,1024,0,same_cross_fitted_c06_residual
CV01,12,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448879036205,0.7046978183700361,0.8787708893609487,1024,1024,0,same_cross_fitted_c06_residual
CV01,12,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6191008294175826,0.7730773412733095,0.9217785704418434,1024,1024,0,same_cross_fitted_c06_residual
CV01,12,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6191008294175826,0.7730773412733095,0.9217785704418434,1024,1024,0,same_cross_fitted_c06_residual
CV01,12,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6191008294175826,0.7730773412733095,0.9217785704418434,1024,1024,0,same_cross_fitted_c06_residual
CV01,12,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.9806027443340024,0.8632653339378473,1.0680482258531934,1024,1024,0,same_cross_fitted_c06_residual
CV01,12,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.9806027443340024,0.8632653339378473,1.0680482258531934,1024,1024,0,same_cross_fitted_c06_residual
