outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,conditioning_feature,validation_outcomes_used
CV02,15,CE-GFRK-06-L010,6,1,True,64,256,0.1,18,-1.0812767447290483e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,15,CE-GFRK-08-L010,8,1,True,256,256,0.1,15,-1.5113445961576928e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,16,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.5060236860583722e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,16,CE-GFRK-06-L010,6,1,True,64,256,0.1,23,-1.832012151616202e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,16,CE-GFRK-08-L010,8,1,True,256,256,0.1,13,-1.4472246975471418e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,17,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.580204136167097e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,17,CE-GFRK-06-L010,6,1,True,64,256,0.1,24,-1.3673822839775822e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,17,CE-GFRK-08-L010,8,1,True,256,256,0.1,19,-1.7476309891386195e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,18,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3496907288297334e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,18,CE-GFRK-06-L010,6,1,True,64,256,0.1,19,-1.3653125757955096e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,18,CE-GFRK-08-L010,8,1,True,256,256,0.1,14,-9.529088305546634e-16,cross_fitted_c06_train_outer_c06_validation,0
CV02,19,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.6344067519536357e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,19,CE-GFRK-06-L010,6,1,True,64,256,0.1,17,-6.508830553406939e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,19,CE-GFRK-08-L010,8,1,True,256,256,0.1,17,-1.6761425763767703e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,20,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2971258549485268e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,20,CE-GFRK-06-L010,6,1,True,64,256,0.1,23,-8.286277435026751e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,20,CE-GFRK-08-L010,8,1,True,256,256,0.1,6,-5.539316442432808e-16,cross_fitted_c06_train_outer_c06_validation,0
CV03,1,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.7175198265813475e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,1,CE-GFRK-06-L010,6,1,True,64,256,0.1,27,-2.0042604578603764e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,1,CE-GFRK-08-L010,8,1,True,256,256,0.1,28,-1.7041671475772034e-15,cross_fitted_c06_train_outer_c06_validation,0
