outer_fold,seed_index,validation_rows,eta_min,eta_max,eta_mean,c06_probability_min,c06_probability_max,gate_formula,gate_source,validation_outcomes_used
CV03,15,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,16,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,17,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,18,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,19,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,20,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,1,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,2,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,3,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,4,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,5,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,6,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,7,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,8,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,9,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,10,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,11,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,12,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,13,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,14,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,15,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,16,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,17,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,18,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
