outer_fold,seed_index,q,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,gate_eta_min,gate_eta_max,gate_eta_mean,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV04,4,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6858422232406808,0.4266602498416218,0.35187908695212944,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,5,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612691091442,0.7933543136348201,0.8308799416316074,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,5,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6509683121588317,0.46618429905265135,0.4743832848189075,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,5,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6855815990021845,0.4287103098150145,0.35800750999978026,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,6,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612689758312,0.7933797859898205,0.8306866815987657,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,6,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6519864586398018,0.46501282393531945,0.4733649988824731,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,6,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6841378345323293,0.42959195162413155,0.3575609220429589,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,7,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612690274672,0.7932172184918492,0.8302410539434784,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,7,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6512655842274973,0.4663395881860075,0.4736093538614961,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,7,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.683423403489611,0.42892297309070326,0.359826538035435,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,8,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612691536401,0.7928996207123323,0.829126671571601,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,8,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6525770118200269,0.4648865752075336,0.47216691826409646,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,8,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6891135292991117,0.4281226976119426,0.356610247219337,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,9,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612690426268,0.7932550783551904,0.8305269253685462,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,9,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6528580747467899,0.46528618995146326,0.4741180415553394,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,9,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.685821727584042,0.4296843171123054,0.3597423193365568,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
