model_id,config_id,fold_id,seed_index,validation_rows,brier,auroc,recall,precision,ece,rmse,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,no_predicted_feasible_rate
PRQK-06-N,PRQK-06-N,CV02,14,9750,0.20833065595228922,0.686451632605121,0.18424242424242424,0.27573696145124715,0.27625508071730975,0.08535676976027377,0.03644770436188979,0.07646418805204928,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q6,A02-R-q6,CV02,14,9750,0.3104243642981006,0.32116027719050977,0.0006060606060606061,0.2,0.34090448810833013,0.06713958691644252,0.028668889670761744,0.0604936944343189,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-N,PRQK-06-N,CV02,15,9750,0.20836667548663856,0.6864208597603946,0.18424242424242424,0.27573696145124715,0.2762985310976984,0.08528986100141424,0.03641913403678281,0.07640237695190494,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q6,A02-R-q6,CV02,15,9750,0.3104063906796445,0.3212186751233263,0.0006060606060606061,0.2,0.34088069822694245,0.06713397978023916,0.028666495399712933,0.06048682323458113,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-N,PRQK-06-N,CV02,16,9750,0.2083670739773202,0.6864322762508808,0.18424242424242424,0.27573696145124715,0.2762925237637465,0.08532010487281529,0.03643204829872923,0.07642803147688618,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q6,A02-R-q6,CV02,16,9750,0.31041105588090684,0.32120923185341793,0.0006060606060606061,0.2,0.34089818292705665,0.06713724488129266,0.028667889611774192,0.06049039089953443,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-N,PRQK-06-N,CV02,17,9750,0.2084078811186855,0.6863951609114398,0.18424242424242424,0.27573696145124715,0.27632090542720256,0.08531183330432901,0.036428516303743434,0.07641290805146986,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q6,A02-R-q6,CV02,17,9750,0.310406826543501,0.3211746065304205,0.0006060606060606061,0.2,0.34089605895387504,0.067140309727184,0.02866919831402799,0.060493605304387625,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-N,PRQK-06-N,CV02,18,9750,0.20832722454558872,0.6864828282828283,0.18424242424242424,0.27573696145124715,0.27626494767058396,0.08528555185807266,0.036417294014216256,0.07639587950526425,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q6,A02-R-q6,CV02,18,9750,0.3104333108582799,0.3211268264035706,0.0006060606060606061,0.2,0.34090794561740934,0.06713770456311971,0.02866808589787288,0.06049024225630882,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-N,PRQK-06-N,CV02,19,9750,0.2084812259614423,0.6862919896640828,0.18424242424242424,0.27573696145124715,0.2763666808003268,0.08535516129908798,0.03644701754211039,0.07645431356031888,19.476923076923075,0.2076923076923077,0.3523076923076923
